,varname,varlabel,q_no,question_bosnian,question_eng
313,q10_16,Q10-16. Koliko ste imali godina kada ste prvi put imali seksualni odnos s muškar,Q10-16.,Koliko ste imali godina kada ste prvi put imali seksualni odnos s muškar,How old were you when you first had sex with a man
314,q10_17,Q10-17. Koji pol vas seksualno privlači? Seksualno me privlače:,Q10-17.,Koji pol vas seksualno privlači? Seksualno me privlače:,Which gender attracts you sexually? I am sexually attracted to:
315,q10_18,"Q10-18. Ako vas privlače muškarci a ne živite s partnerom, da li biste željeli ž",Q10-18.,"Ako vas privlače muškarci a ne živite s partnerom, da li biste željeli ž","If you are attracted to men and do not live with a partner, would you like to ž"
316,q10_19,Q10-19. Koliko puta ste imali seks sa ženom ili djevojkom kada ona nije pristala,Q10-19.,Koliko puta ste imali seks sa ženom ili djevojkom kada ona nije pristala,How many times have you had sex with a woman or a girl when she didn’t agree
317,q10_20,Q10-20. Koliko puta ste imali seks sa ženom ili djevojkom kada je ona bila previ,Q10-20.,Koliko puta ste imali seks sa ženom ili djevojkom kada je ona bila previ,How many times have you had sex with a woman or a girl when she was too old
318,q10_21,Q10-21. Jeste li ikada prisilili vašu djevojku ili suprugu na seks s vama?,Q10-21.,Jeste li ikada prisilili vašu djevojku ili suprugu na seks s vama?,Jeste li ikada prisilili vašu djevojku ili suprugu na seks s vama?
319,q10_22,Q10-22. Jeste li ikada prisilili bivšu djevojku ili bivšu ženu na seksualni odno,Q10-22.,Jeste li ikada prisilili bivšu djevojku ili bivšu ženu na seksualni odno,Have you ever forced an ex-girlfriend or ex-wife into a sexual relationship
320,q10_23,Q10-23. Jeste li ikada prisili ženu koja NIJE bila vaša žena ili djevojka na sek,Q10-23.,Jeste li ikada prisili ženu koja NIJE bila vaša žena ili djevojka na sek,Have you ever forced a woman who was NOT your wife or girlfriend for sex
321,q10_24,Q10-24. Koliko puta ste vi i drugi muškarci imali istovremeno seksualne odnose s,Q10-24.,Koliko puta ste vi i drugi muškarci imali istovremeno seksualne odnose s,Koliko puta ste vi i drugi muškarci imali istovremeno seksualne odnose s
322,q10_25,Q10-25. Koliko puta ste vi i drugi muškarci imali istovremeno seksualne odnose s,Q10-25.,Koliko puta ste vi i drugi muškarci imali istovremeno seksualne odnose s,How many times have you and other men had sexual intercourse with
323,q10_26,Q10-26. Jeste li ikada učinili nešto seksualno sa mladićem ili muškarcem kada on,Q10-26.,Jeste li ikada učinili nešto seksualno sa mladićem ili muškarcem kada on,Have you ever done something sexual with a young man or a man when he
324,q10_27,Q10-27. Koliko žena/djevojaka ste prisilili na seks?,Q10-27.,Koliko žena/djevojaka ste prisilili na seks?,Koliko žena/djevojaka ste prisilili na seks?
325,q10_28_1,Q10-28-1. mislite o odrasloj ženi koja radi kao prostitutka... Mislim da je to m,Q10-28-1.,mislite o odrasloj ženi koja radi kao prostitutka... Mislim da je to m,mislite o odrasloj ženi koja radi kao prostitutka... Mislim da je to m
326,q10_28_2,Q10-28-2. mislite o odrasloj ženi koja radi kao prostitutka... Mislim da to krši,Q10-28-2.,mislite o odrasloj ženi koja radi kao prostitutka... Mislim da to krši,think of an adult woman working as a prostitute ... I think it violates
327,q10_28_3,Q10-28-3. mislite o odrasloj ženi koja radi kao prostitutka... Mislim da je to n,Q10-28-3.,mislite o odrasloj ženi koja radi kao prostitutka... Mislim da je to n,mislite o odrasloj ženi koja radi kao prostitutka... Mislim da je to n
328,q10_28_4,Q10-28-4. mislite o odrasloj ženi koja radi kao prostitutka... Mislim da je to p,Q10-28-4.,mislite o odrasloj ženi koja radi kao prostitutka... Mislim da je to p,think of an adult woman working as a prostitute ... I think it's p
329,q10_28_5,Q10-28-5. mislite o odrasloj ženi koja radi kao prostitutka... Ne vidim problem ,Q10-28-5.,mislite o odrasloj ženi koja radi kao prostitutka... Ne vidim problem ,think of an adult woman working as a prostitute ... I don't see a problem
330,q10_28_6,Q10-28-6. mislite o odrasloj ženi koja radi kao prostitutka... To je posao kao i,Q10-28-6.,mislite o odrasloj ženi koja radi kao prostitutka... To je posao kao i,think of an adult woman working as a prostitute ... It's a job as well
331,q10_29_1,Q10-29-1. mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Mislim d,Q10-29-1.,mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Mislim d,think of a woman under 18 who works as a prostitute ... I mean d
332,q10_29_2,Q10-29-2. mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Mislim d,Q10-29-2.,mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Mislim d,mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Mislim d
333,q10_29_3,Q10-29-3. mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Mislim d,Q10-29-3.,mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Mislim d,think of a woman under 18 who works as a prostitute ... I mean d
334,q10_29_4,Q10-29-4. mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Mislim d,Q10-29-4.,mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Mislim d,think of a woman under 18 who works as a prostitute ... I mean d
335,q10_29_5,Q10-29-5. mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Ne vidim,Q10-29-5.,mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... Ne vidim,think of a woman under 18 who works as a prostitute ... I don't see
336,q10_29_6,Q10-29-6. mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... To je po,Q10-29-6.,mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... To je po,mislite o ženi mlađoj od 18 god. koja radi kao prostitutka... To je po
337,q10_30_1,Q10-30-1. mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da je t,Q10-30-1.,mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da je t,mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da je t
338,q10_30_2,Q10-30-2. mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da to k,Q10-30-2.,mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da to k,Think of an adult male. who provides sexual services ... I think that k
339,q10_30_3,Q10-30-3. mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da je t,Q10-30-3.,mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da je t,mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da je t
340,q10_30_4,Q10-30-4. mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da je t,Q10-30-4.,mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da je t,mislite o odraslom mušk. koji pruža seksualne usluge... Mislim da je t
341,q10_30_5,Q10-30-5. mislite o odraslom mušk. koji pruža seksualne usluge... Ne vidim probl,Q10-30-5.,mislite o odraslom mušk. koji pruža seksualne usluge... Ne vidim probl,mislite o odraslom mušk. koji pruža seksualne usluge... Ne vidim probl
342,q10_30_6,Q10-30-6. mislite o odraslom mušk. koji pruža seksualne usluge... To je posao ka,Q10-30-6.,mislite o odraslom mušk. koji pruža seksualne usluge... To je posao ka,mislite o odraslom mušk. koji pruža seksualne usluge... To je posao ka
343,q10_31_1,Q10-31-1. mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli,Q10-31-1.,mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli,Think of a man. younger than 18 years who provides sexual services ... Thoughts
344,q10_31_2,Q10-31-2. mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli,Q10-31-2.,mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli,mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli
345,q10_31_3,Q10-31-3. mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli,Q10-31-3.,mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli,mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli
346,q10_31_4,Q10-31-4. mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli,Q10-31-4.,mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli,mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Misli
347,q10_31_5,Q10-31-5. mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Ne vi,Q10-31-5.,mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... Ne vi,Think of a man. younger than 18 years who provides sexual services ... Not you
348,q10_31_6,Q10-31-6. mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... To je,Q10-31-6.,mislite o mušk. mlađem od 18 god. koji pruža seksualne usluge... To je,Think of a man. younger than 18 years who provides sexual services ... That's it
349,q10_32_1,Q10-32-1. Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je p,Q10-32-1.,Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je p,What do you think about men who pay for sexual services? I think p
350,q10_32_2,Q10-32-2. Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je t,Q10-32-2.,Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je t,Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je t
351,q10_32_3,Q10-32-3. Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je t,Q10-32-3.,Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je t,What do you think about men who pay for sexual services? I think t
352,q10_32_4,Q10-32-4. Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je t,Q10-32-4.,Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je t,What do you think about men who pay for sexual services? I think t
353,q10_32_5,Q10-32-5. Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da to č,Q10-32-5.,Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da to č,Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da to č
354,q10_32_6,Q10-32-6. Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je s,Q10-32-6.,Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je s,Šta mislite o muškarcima koji plaćaju seksualne usluge? Mislim da je s
355,q10_33,Q10-33. Mislite li da bi trebalo biti legalno kupovati seksualne usluge?,Q10-33.,Mislite li da bi trebalo biti legalno kupovati seksualne usluge?,Mislite li da bi trebalo biti legalno kupovati seksualne usluge?
356,q10_34,Q10-34. Mislite li da bi trebalo biti legalno raditi kao osoba koja pruža seksua,Q10-34.,Mislite li da bi trebalo biti legalno raditi kao osoba koja pruža seksua,Do you think it should be legal to work as a sex worker
357,q10_35,Q10-35. vaše djevojke ili partnerice - započele vezu zato što: Osigurali joj hra,Q10-35.,vaše djevojke ili partnerice - započele vezu zato što: Osigurali joj hra,your girlfriends or partners - started a relationship because: Provide her food
358,q10_36,Q10-36. vaše djevojke ili partnerice - započele vezu zato što: Platili joj trošk,Q10-36.,vaše djevojke ili partnerice - započele vezu zato što: Platili joj trošk,vaše djevojke ili partnerice - započele vezu zato što: Platili joj trošk
359,q10_37,Q10-37. vaše djevojke ili partnerice - započele vezu zato što: Osigurali joj smj,Q10-37.,vaše djevojke ili partnerice - započele vezu zato što: Osigurali joj smj,vaše djevojke ili partnerice - započele vezu zato što: Osigurali joj smj
360,q10_38,Q10-38. vaše djevojke ili partnerice - započele vezu zato što: Osigurali joj koz,Q10-38.,vaše djevojke ili partnerice - započele vezu zato što: Osigurali joj koz,your girlfriends or partners - started a relationship because: They provided her with a goat
361,q10_39,Q10-39. vaše djevojke ili partnerice - započele vezu zato što: Pružili joj stvar,Q10-39.,vaše djevojke ili partnerice - započele vezu zato što: Pružili joj stvar,vaše djevojke ili partnerice - započele vezu zato što: Pružili joj stvar
362,q10_40,Q10-40. vaše djevojke ili partnerice - započele vezu zato što: Pružili joj novac,Q10-40.,vaše djevojke ili partnerice - započele vezu zato što: Pružili joj novac,your girlfriends or partners - started a relationship because: They gave her money
363,q10_41,Q10-41. vaše djevojke ili partnerice - započele vezu zato što: Osigurali joj bil,Q10-41.,vaše djevojke ili partnerice - započele vezu zato što: Osigurali joj bil,vaše djevojke ili partnerice - započele vezu zato što: Osigurali joj bil
364,q10_42,Q10-42. vaše djevojke ili partnerice - započele vezu zato što: Vršili popravke u,Q10-42.,vaše djevojke ili partnerice - započele vezu zato što: Vršili popravke u,vaše djevojke ili partnerice - započele vezu zato što: Vršili popravke u
365,q10_43,"Q10-43. bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj hranu,",Q10-43.,"bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj hranu,","bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj hranu,"
366,q10_44,Q10-44. bilo koje djevojke/žene - stupile u odnos zato što: Platili joj troškove,Q10-44.,bilo koje djevojke/žene - stupile u odnos zato što: Platili joj troškove,bilo koje djevojke/žene - stupile u odnos zato što: Platili joj troškove
367,q10_45,Q10-45. bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj smješt,Q10-45.,bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj smješt,any girl / woman - entered into a relationship because: They provided her with accommodation
368,q10_46,Q10-46. bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj kozmet,Q10-46.,bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj kozmet,bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj kozmet
369,q10_47,Q10-47. bilo koje djevojke/žene - stupile u odnos zato što: Pružili joj stvari z,Q10-47.,bilo koje djevojke/žene - stupile u odnos zato što: Pružili joj stvari z,any girl / woman - entered into a relationship because: They gave her things z
370,q10_48,Q10-48. bilo koje djevojke/žene - stupile u odnos zato što: Pružili joj novac da,Q10-48.,bilo koje djevojke/žene - stupile u odnos zato što: Pružili joj novac da,bilo koje djevojke/žene - stupile u odnos zato što: Pružili joj novac da
371,q10_49,Q10-49. bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj bilo š,Q10-49.,bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj bilo š,any girl / woman - entered into a relationship because: They secured her any š
372,q10_50,Q10-50. bilo koje djevojke/žene - stupile u odnos zato što: Vršili popravke u ku,Q10-50.,bilo koje djevojke/žene - stupile u odnos zato što: Vršili popravke u ku,any girls / women - entered into a relationship because: They made repairs in the house
373,q10_51_1,"Q10-51.: Da, sa ženom koja pruža seksualne usluge",Q10-51.:,"Da, sa ženom koja pruža seksualne usluge","Da, sa ženom koja pruža seksualne usluge"
374,q10_51_2,"Q10-51.: Da, sa muškarcem koji pruža seksualne usluge",Q10-51.:,"Da, sa muškarcem koji pruža seksualne usluge","Yes, with a man who provides sexual services"
375,q10_51_3,"Q10-51.: Da, sa transvestitom",Q10-51.:,"Da, sa transvestitom","Da, sa transvestitom"
376,q10_51_4,Q10-51.: Ne,Q10-51.:,Ne,Ne
377,q10_51_5,Q10-51.: odbija - bez odgovora,Q10-51.:,odbija - bez odgovora,refused - no answer
378,q10_52,Q10-52. Jeste li ikada imali seksualne odnose s prostitutkom ili osobom koja pru,Q10-52.,Jeste li ikada imali seksualne odnose s prostitutkom ili osobom koja pru,Have you ever had sexual intercourse with a prostitute or a person who provides
379,q10_53,Q10-53. Jeste li ikada imali seksualne odnose s prostitutkom ili osobom koja pru,Q10-53.,Jeste li ikada imali seksualne odnose s prostitutkom ili osobom koja pru,Jeste li ikada imali seksualne odnose s prostitutkom ili osobom koja pru
380,q10_54,Q10-54. Kada biste znali da je prostitutka ili osoba koja pruža seksualne usluge,Q10-54.,Kada biste znali da je prostitutka ili osoba koja pruža seksualne usluge,If you knew she was a prostitute or a person providing sexual services
381,q11_1,Q11-1. U kojoj mjeri posjećuješ bogomolju?,Q11-1.,U kojoj mjeri posjećuješ bogomolju?,U kojoj mjeri posjećuješ bogomolju?
382,q11_2,Q11-2. Koliko često se SAM moliš ili čitaš vjerske spise?,Q11-2.,Koliko često se SAM moliš ili čitaš vjerske spise?,Koliko često se SAM moliš ili čitaš vjerske spise?
383,q11_3,Q11-3. Imao sam mistični doživljaj i iskustvo Božijeg postojanja,Q11-3.,Imao sam mistični doživljaj i iskustvo Božijeg postojanja,Imao sam mistični doživljaj i iskustvo Božijeg postojanja
384,q11_4,Q11-4. Moj čitav život je zasnovan na vjeri u Boga,Q11-4.,Moj čitav život je zasnovan na vjeri u Boga,Moj čitav život je zasnovan na vjeri u Boga
385,q11_5,Q11-5. Veoma se trudim da prenesem svoju religioznost na sve druge životne postu,Q11-5.,Veoma se trudim da prenesem svoju religioznost na sve druge životne postu,I try very hard to pass on my religiosity to all other life fasts
386,q11_6,Q11-6. Da li imaš nekoga od prijatelja ko je druge nacionalnosti?,Q11-6.,Da li imaš nekoga od prijatelja ko je druge nacionalnosti?,Do you have any friends who are of other nationalities?
387,q11_7,Q11-7. Da li si u braku sa osobom iste nacionalnosti?,Q11-7.,Da li si u braku sa osobom iste nacionalnosti?,Are you married to a person of the same nationality?
388,q11_8,Q11-8. Da li imaš rodbine koja je druge nacije?,Q11-8.,Da li imaš rodbine koja je druge nacije?,Do you have relatives who are from another nation?
389,q11_9,Q11-9. Veoma mi je važna moja etnička pripadnost. (Zaokruži koliko si saglasan s,Q11-9.,Veoma mi je važna moja etnička pripadnost. (Zaokruži koliko si saglasan s,Veoma mi je važna moja etnička pripadnost. (Zaokruži koliko si saglasan s
390,q11_10,"Q11-10. Ljudima drugih nacija u BiH nikad više ne treba vjerovati, čak i ako se ",Q11-10.,"Ljudima drugih nacija u BiH nikad više ne treba vjerovati, čak i ako se ","People of other nations in BiH should never be trusted again, even if they are"
391,q11_11,Q11-11. Druge nacije su stalno kroz istoriju smišljale planove protiv mog naroda,Q11-11.,Druge nacije su stalno kroz istoriju smišljale planove protiv mog naroda,Other nations have consistently devised plans against my people throughout history
392,q11_12,Q11-12. Najugodnije se osjećam u onom društvu u kojem su svi pripadnici moje nac,Q11-12.,Najugodnije se osjećam u onom društvu u kojem su svi pripadnici moje nac,I feel most comfortable in that society where all the members of my nac
393,q11_13,Q11-13. Narod kojem pripadam je pošteniji od drugih naroda u BiH. (Zaokruži koli,Q11-13.,Narod kojem pripadam je pošteniji od drugih naroda u BiH. (Zaokruži koli,The people I belong to are fairer than other peoples in BiH. (Circle any
394,q11_14,Q11-14. Ne bi mi se svidjelo da radim na poslu zajedno sa ljudima neke druge nac,Q11-14.,Ne bi mi se svidjelo da radim na poslu zajedno sa ljudima neke druge nac,Ne bi mi se svidjelo da radim na poslu zajedno sa ljudima neke druge nac
395,q11_15,Q11-15. Mogao bih da budem veliki prijatelj sa ljudima drugih nacija u BiH (Zaok,Q11-15.,Mogao bih da budem veliki prijatelj sa ljudima drugih nacija u BiH (Zaok,I could be great friends with people of other nations in BiH (Zaok
396,q11_16,Q11-16. Ne bih pristao da stupim u brak sa pripadnicima drugih nacija u BiH. (Za,Q11-16.,Ne bih pristao da stupim u brak sa pripadnicima drugih nacija u BiH. (Za,Ne bih pristao da stupim u brak sa pripadnicima drugih nacija u BiH. (Za
397,q11_17,Q11-17. Život u ratom zahvaćenim područjima (U ovom dijelu upitnika navedena je ,Q11-17.,Život u ratom zahvaćenim područjima (U ovom dijelu upitnika navedena je ,Život u ratom zahvaćenim područjima (U ovom dijelu upitnika navedena je 
398,q11_18,Q11-18. Privremeno napuštanje porodične kuće usljed ratnih zbivanja (U ovom dije,Q11-18.,Privremeno napuštanje porodične kuće usljed ratnih zbivanja (U ovom dije,Privremeno napuštanje porodične kuće usljed ratnih zbivanja (U ovom dije
399,q11_19,Q11-19. Trajno izbjeglištvo i preseljenje usljed ratnih zbivanja (U ovom dijelu ,Q11-19.,Trajno izbjeglištvo i preseljenje usljed ratnih zbivanja (U ovom dijelu ,Trajno izbjeglištvo i preseljenje usljed ratnih zbivanja (U ovom dijelu 
400,q11_20,Q11-20. Gubitak zaposlenja zbog etničke pripadnosti (U ovom dijelu upitnika nave,Q11-20.,Gubitak zaposlenja zbog etničke pripadnosti (U ovom dijelu upitnika nave,Gubitak zaposlenja zbog etničke pripadnosti (U ovom dijelu upitnika nave
401,q11_21,Q11-21. Direktno učestvovanje u ratnim borbama (U ovom dijelu upitnika navedena ,Q11-21.,Direktno učestvovanje u ratnim borbama (U ovom dijelu upitnika navedena ,Direct participation in warfare (In this part of the questionnaire listed
402,q11_22,Q11-22. Ranjavanje ili zarobljavanje bliske osobe (U ovom dijelu upitnika navede,Q11-22.,Ranjavanje ili zarobljavanje bliske osobe (U ovom dijelu upitnika navede,Wounding or capturing a close person (In this part of the questionnaire he states
403,q11_23,Q11-23. Svjedočio seksualnom nasilju tokom ratnih zbivanja (U ovom dijelu upitni,Q11-23.,Svjedočio seksualnom nasilju tokom ratnih zbivanja (U ovom dijelu upitni,Witnessed sexual violence during the war (In this part of the question
404,q11_24,Q11-24. Smrt bliske osobe (U ovom dijelu upitnika navedena je lista životnih dog,Q11-24.,Smrt bliske osobe (U ovom dijelu upitnika navedena je lista životnih dog,"Death of a close person (In this part of the questionnaire, a list of life dogs is given"
405,q11_25,Q11-25. Bio sam ranjen/a ili zarobljen/a tokom rata (U ovom dijelu upitnika nave,Q11-25.,Bio sam ranjen/a ili zarobljen/a tokom rata (U ovom dijelu upitnika nave,I was wounded or captured during the war (In this part of the questionnaire
406,katgodine,"kategorije godina , do 24, 25-34, 35-49, 50-59",kategorije,"godina , do 24, 25-34, 35-49, 50-59","years, to 24, 25-34, 35-49, 50-59"
